CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
man-teacher,A man standing in front of a chalkboard (aka blackboard) with the intention of teaching a class. Often shown holding a 📕 Closed Book or a pointer.,"The Man Teacher emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🏫 School.These display as a single emoji on supported platforms.",Man Teacher was added to Emoji 4.0 in 2016.,
man-technologist-dark-skin-tone,,"The Man Technologist: Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and 💻 Laptop.These display as a single emoji on supported platforms.",Man Technologist: Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-technologist-light-skin-tone,,"The Man Technologist: Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, ‍ Zero Width Joiner and 💻 Laptop.These display as a single emoji on supported platforms.",Man Technologist: Light Skin Tone was added to Emoji 4.0 in 2016.,
man-technologist-medium-dark-skin-tone,,"The Man Technologist: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and 💻 Laptop.These display as a single emoji on supported platforms.",Man Technologist: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-technologist-medium-light-skin-tone,,"The Man Technologist: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and 💻 Laptop.These display as a single emoji on supported platforms.",Man Technologist: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.,
man-technologist-medium-skin-tone,,"The Man Technologist: Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and 💻 Laptop.These display as a single emoji on supported platforms.",Man Technologist: Medium Skin Tone was added to Emoji 4.0 in 2016.,
man-technologist,"A man behind a computer screen, working in the field of technology. See also: 👩‍💻 Female Technologist","The Man Technologist emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 💻 Laptop.These display as a single emoji on supported platforms.",Man Technologist was added to Emoji 4.0 in 2016.,
man-tipping-hand-dark-skin-tone,,"The Man Tipping Hand: Dark Skin Tone emoji is a ZWJ sequence combining 💁 Person Tipping Hand, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Tipping Hand: Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-tipping-hand-light-skin-tone,,"The Man Tipping Hand: Light Skin Tone emoji is a ZWJ sequence combining 💁 Person Tipping Hand, 🏻 Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Tipping Hand: Light Skin Tone was added to Emoji 4.0 in 2016.,
man-tipping-hand-medium-dark-skin-tone,,"The Man Tipping Hand: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 💁 Person Tipping Hand, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Tipping Hand: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-tipping-hand-medium-light-skin-tone,,"The Man Tipping Hand: Medium-Light Skin Tone emoji is a ZWJ sequence combining 💁 Person Tipping Hand, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Tipping Hand: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.,
man-tipping-hand-medium-skin-tone,,"The Man Tipping Hand: Medium Skin Tone emoji is a ZWJ sequence combining 💁 Person Tipping Hand, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Tipping Hand: Medium Skin Tone was added to Emoji 4.0 in 2016.,
man-tipping-hand,A man tipping his hand by his shoulder as if he’s carrying a tray of drinks or flipping his hair. This emoji is commonly used to express sassiness or sarcasm.,"The Man Tipping Hand emoji is a ZWJ sequence combining 💁 Person Tipping Hand, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Tipping Hand was added to Emoji 4.0 in 2016.,
man-vampire-dark-skin-tone,,"The Man Vampire: Dark Skin Tone emoji is a ZWJ sequence combining 🧛 Vampire, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Vampire: Dark Skin Tone was added to Emoji 5.0 in 2017.,
man-vampire-light-skin-tone,,"The Man Vampire: Light Skin Tone emoji is a ZWJ sequence combining 🧛 Vampire, 🏻 Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Vampire: Light Skin Tone was added to Emoji 5.0 in 2017.,
man-vampire-medium-dark-skin-tone,,"The Man Vampire: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧛 Vampire, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Vampire: Medium-Dark Skin Tone was added to Emoji 5.0 in 2017.,
man-vampire-medium-light-skin-tone,,"The Man Vampire: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧛 Vampire, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Vampire: Medium-Light Skin Tone was added to Emoji 5.0 in 2017.,
man-vampire-medium-skin-tone,,"The Man Vampire: Medium Skin Tone emoji is a ZWJ sequence combining 🧛 Vampire, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Vampire: Medium Skin Tone was added to Emoji 5.0 in 2017.,
man-vampire,,"The Man Vampire emoji is a ZWJ sequence combining 🧛 Vampire, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Vampire was added to Emoji 5.0 in 2017.,
man-walking-dark-skin-tone,,"The Man Walking: Dark Skin Tone emoji is a ZWJ sequence combining 🚶 Person Walking, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Walking: Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-walking-light-skin-tone,,"The Man Walking: Light Skin Tone emoji is a ZWJ sequence combining 🚶 Person Walking, 🏻 Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Walking: Light Skin Tone was added to Emoji 4.0 in 2016.,
man-walking-medium-dark-skin-tone,,"The Man Walking: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🚶 Person Walking, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Walking: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-walking-medium-light-skin-tone,,"The Man Walking: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🚶 Person Walking, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Walking: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.,
man-walking-medium-skin-tone,,"The Man Walking: Medium Skin Tone emoji is a ZWJ sequence combining 🚶 Person Walking, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Walking: Medium Skin Tone was added to Emoji 4.0 in 2016.,
man-walking,The male version of the 🚶 Pedestrian emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Walking emoji is a ZWJ sequence combining 🚶 Person Walking, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Walking was added to Emoji 4.0 in 2016.,
man-wearing-turban-dark-skin-tone,,"The Man Wearing Turban: Dark Skin Tone emoji is a ZWJ sequence combining 👳 Person Wearing Turban, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Wearing Turban: Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-wearing-turban-light-skin-tone,,"The Man Wearing Turban: Light Skin Tone emoji is a ZWJ sequence combining 👳 Person Wearing Turban, 🏻 Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Wearing Turban: Light Skin Tone was added to Emoji 4.0 in 2016.,
man-wearing-turban-medium-dark-skin-tone,,"The Man Wearing Turban: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👳 Person Wearing Turban, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Wearing Turban: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.,
man-wearing-turban-medium-light-skin-tone,,"The Man Wearing Turban: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👳 Person Wearing Turban, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Wearing Turban: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.,
man-wearing-turban-medium-skin-tone,,"The Man Wearing Turban: Medium Skin Tone emoji is a ZWJ sequence combining 👳 Person Wearing Turban, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms. ",Man Wearing Turban: Medium Skin Tone was added to Emoji 4.0 in 2016.,
man-wearing-turban,The male version of the 👳‍♀️ Woman Wearing Turban emoji.,"The Man Wearing Turban emoji is a ZWJ sequence combining 👳 Person Wearing Turban, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Wearing Turban was added to Emoji 4.0 in 2016.,
man-white-hair,The male version of 🧑‍🦳 Person with White Hair.,"The Man: White Hair emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🦳 White Hair.These display as a single emoji on supported platforms.",Man: White Hair was added to Emoji 11.0 in 2018.,
man-with-veil-dark-skin-tone,,"The Man with Veil: Dark Skin Tone emoji is a ZWJ sequence combining 👰 Person with Veil, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man with Veil: Dark Skin Tone was added to Emoji 13.0 in 2020.,
man-with-veil-light-skin-tone,,"The Man with Veil: Light Skin Tone emoji is a ZWJ sequence combining 👰 Person with Veil, 🏻 Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man with Veil: Light Skin Tone was added to Emoji 13.0 in 2020.,
man-with-veil-medium-dark-skin-tone,,"The Man with Veil: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👰 Person with Veil, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man with Veil: Medium-Dark Skin Tone was added to Emoji 13.0 in 2020.,
man-with-veil-medium-light-skin-tone,,"The Man with Veil: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👰 Person with Veil, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man with Veil: Medium-Light Skin Tone was added to Emoji 13.0 in 2020.,
man-with-veil-medium-skin-tone,,"The Man with Veil: Medium Skin Tone emoji is a ZWJ sequence combining 👰 Person with Veil, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man with Veil: Medium Skin Tone was added to Emoji 13.0 in 2020.,
man-with-veil,,"The Man with Veil emoji is a ZWJ sequence combining 👰 Person with Veil, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man with Veil was added to Emoji 13.0 in 2020.,
man-with-white-cane-dark-skin-tone,,"The Man with White Cane: Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Man with White Cane: Dark Skin Tone was added to Emoji 12.0 in 2019.,
man-with-white-cane-light-skin-tone,,"The Man with White Cane: Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Man with White Cane: Light Skin Tone was added to Emoji 12.0 in 2019.,
man-with-white-cane-medium-dark-skin-tone,,"The Man with White Cane: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Man with White Cane: Medium-Dark Skin Tone was added to Emoji 12.0 in 2019.,
man-with-white-cane-medium-light-skin-tone,,"The Man with White Cane: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Man with White Cane: Medium-Light Skin Tone was added to Emoji 12.0 in 2019.,
man-with-white-cane-medium-skin-tone,,"The Man with White Cane: Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Man with White Cane: Medium Skin Tone was added to Emoji 12.0 in 2019.,
man-with-white-cane,,"The Man with White Cane emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Man with White Cane was added to Emoji 12.0 in 2019.,
man-zombie,,"The Man Zombie emoji is a ZWJ sequence combining 🧟 Zombie, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Zombie was added to Emoji 5.0 in 2017.,
man,The male version of 🧑 Person.,,Man was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
mango,"The ripe fruit of a tropical mango. Variously depicted in shades of yellow, red, orange, and green with a single, green leaf and stem.",,Mango was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
mans-shoe,"A shoe worn by a man, to work, dinner, or another occasion that requires footwear. Unlike womens shoes, this shoe is likely to be comfortable.",,Man’s Shoe was approved as part of Unicode 6.0 in 2010 under the name “Mans Shoe” and added to Emoji 1.0 in 2015.,
mantelpiece-clock,"An antique-styled mantel clock with a flat base and rounded case, as made of wood and brass and placed above a fireplace. Commonly used for various content concerning time. May also suggest a traditional home or old-time environment.  Samsung’s design previously featured a more modern-looking, blue clock.",,Mantelpiece Clock was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
manual-wheelchair,"A manual wheelchair. Most platforms show a red and black or blue and black wheelchair. Distinct from ♿ Wheelchair Symbol, which is used as signage to indicate accessible facilities. See also 👩‍🦽Woman in Manual Wheelchair or 👨‍🦽Man in Manual Wheelchair.",,🦼 Motorized Wheelchair was approved at the same time as this emoji. Manual Wheelchair was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
map-of-japan,"Shows a map of the country of Japan, which is the only country to have its own emoji map. Other countries can be found on the various globe emojis, or the world map emoji.",,Map of Japan was approved as part of Unicode 6.0 in 2010 under the name “Silhouette of Japan” and added to Emoji 1.0 in 2015.,
maple-leaf,"The distinctive, star-shaped leaf of the maple tree. Depicted as a reddish-orange maple leaf, as has changed color in the fall/autumn, with five pointed segments. Used as an emblem of Canada, featured on the 🇨🇦 Flag of Canada. Also used to represent trees and the season of fall/autumn more generally. Microsoft's leaf was previously yellow.",,Maple Leaf was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
maracas,A set of maracas with a colorful motif painted on them.,,Maracas was approved as part of Unicode 15.0 in 2022 and added to Emoji 15.0 in 2022.,"🚩 Approved in September 2022 as part of Emoji 15.0. Now available for select Samsung devices and Google platforms, and within Apple's iOS 16.4 beta. Expected to come to other platforms throughout 2023.Displays in the monochrome Noto Emoji design on Emojipedia if your device has yet to provide support."
martial-arts-uniform,A white uniform used in marital arts such as judo or karate. Held together using a material belt. Known as keikogi in Japanese.,,Martial Arts Uniform was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
mate,"Mate is a caffeinated beverage popular in many South American countries. Green in color (from a key ingredient: the dried leaves of yerba mate) and consumed via a metal straw. This drink is commonly referred to as yerba mate in English, and sometimes spelled maté (to distinguish from a mate, as in friend).",,Mate was approved as part of Unicode 12.0 in 2019 under the name “Mate Drink” and added to Emoji 12.0 in 2019.,
meat-on-bone,"A hunk of unspecified meat on a white bone, as associated with cartoon cavepersons or food in anime and manga (Japanese ano niku, “that meat”). This emoji was shown as a steak in Android 4.4.",,Meat on Bone was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
mechanic-dark-skin-tone,,"The Mechanic: Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and 🔧 Wrench.These display as a single emoji on supported platforms.",Mechanic: Dark Skin Tone was added to Emoji 12.1 in 2019.,
mechanic-light-skin-tone,,"The Mechanic: Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏻 Light Skin Tone, ‍ Zero Width Joiner and 🔧 Wrench.These display as a single emoji on supported platforms.",Mechanic: Light Skin Tone was added to Emoji 12.1 in 2019.,
mechanic-medium-dark-skin-tone,,"The Mechanic: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and 🔧 Wrench.These display as a single emoji on supported platforms.",Mechanic: Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.,
mechanic-medium-light-skin-tone,,"The Mechanic: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and 🔧 Wrench.These display as a single emoji on supported platforms.",Mechanic: Medium-Light Skin Tone was added to Emoji 12.1 in 2019.,
mechanic-medium-skin-tone,,"The Mechanic: Medium Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and 🔧 Wrench.These display as a single emoji on supported platforms.",Mechanic: Medium Skin Tone was added to Emoji 12.1 in 2019.,
mechanic,,"The Mechanic emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🔧 Wrench.These display as a single emoji on supported platforms.",Mechanic was added to Emoji 12.1 in 2019.,
mechanical-arm,A mechanical or prosthetic arm.,,Mechanical Arm was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
mechanical-leg,A mechanical or prosthetic leg.,,Mechanical Leg was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
medical-symbol,A symbol displaying of a rod with a snake entwined around the outside in a downward-spiral shape. Associated with medicine and health care services such as doctors or hospitals. A similar and related symbol called the Caduceus is frequently used in the United States.,,Medical Symbol was approved as part of Unicode 4.1 in 2005 under the name “Staff of Aesculapius” and added to Emoji 4.0 in 2016.,
medium-dark-skin-tone,"A dark brown skin tone modifier, which can be applied to a range of human emoji characters. Type 5 on the Fitzpatrick Scale of skin tones is described as:  Dark brown; Middle Eastern skin types",,"Medium-Dark Skin Tone was approved as part of Unicode 8.0 in 2015 under the name “Emoji Modifier Fitzpatrick Type-5” and added to Emoji 1.0 in 2015. The Medium-Dark Skin Tone is supported with the following emojis. Platforms without support for emoji modifiers display a missing symbol character (box with a cross, alien, or question mark in it) next to any modified emoji.",
medium-light-skin-tone,"A cream white skin tone modifier, which can be applied to a range of human emoji characters. Type 3 on the Fitzpatrick Scale of skin tones is described as: Cream white; fair with any hair or eye color; quite common",,"Medium-Light Skin Tone was approved as part of Unicode 8.0 in 2015 under the name “Emoji Modifier Fitzpatrick Type-3” and added to Emoji 1.0 in 2015. The Medium-Light Skin Tone is supported with the following emojis. Platforms without support for emoji modifiers display a missing symbol character (box with a cross, alien, or question mark in it) next to any modified emoji.",
medium-skin-tone,"A moderate brown skin tone modifier, which can be applied to a range of human emoji characters. Type 4 on the Fitzpatrick Scale of skin tones is described as: Moderate brown; typical Mediterranean skin tone — Rarely burns, always tans well",,"Medium Skin Tone was approved as part of Unicode 8.0 in 2015 under the name “Emoji Modifier Fitzpatrick Type-4” and added to Emoji 1.0 in 2015. The Medium Skin Tone is supported with the following emojis. Platforms without support for emoji modifiers display a missing symbol character (box with a cross, alien, or question mark in it) next to any modified emoji.",
megaphone,,,Megaphone was approved as part of Unicode 6.0 in 2010 under the name “Cheering Megaphone” and added to Emoji 1.0 in 2015.,
melon,"A melon fruit in a light greenish-brown rind. Depicted as a cantaloupe by most platforms, but can resemble a honeydew at a distance.",,Melon was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
melting-face,"A yellow smiley face melting into a puddle.  The eyes and mouth slip down the face, yet still maintain a distorted smile. This quality lends this emoji to sarcasm. Can be used literally to talk about extreme heat. Can also be used metaphorically to talk about embarrassment, shame, a slowly sinking sense of dread, or feeling overwhelmed in some way.",,Melting Face was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.,🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.
memo,"A white piece of paper with text written on it by a yellow pencil, positioned over the sheet, tip down, at a 45° angle. Commonly used for content concerning various types of documents and writing, including signing (in sports). WhatsApp and Facebook’s designs depict an old-fashioned office memorandum on pink paper. Apple’s suggests an informal note with the easter egg of handwritten text from its 1997–2002 Crazy Ones/Think Different ad campaign: Here’s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes… Not to be confused with 📄 Page Facing Up or other emojis featuring sheets of paper.",,Memo was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
men-holding-hands-dark-skin-tone-light-skin-tone,,"The Men Holding Hands: Dark Skin Tone, Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Dark Skin Tone, Light Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-dark-skin-tone-medium-dark-skin-tone,,"The Men Holding Hands: Dark Skin Tone, Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Dark Skin Tone, Medium-Dark Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-dark-skin-tone-medium-light-skin-tone,,"The Men Holding Hands: Dark Skin Tone, Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Dark Skin Tone, Medium-Light Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-dark-skin-tone-medium-skin-tone,,"The Men Holding Hands: Dark Skin Tone, Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Dark Skin Tone, Medium Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-dark-skin-tone,,The Men Holding Hands: Dark Skin Tone emoji is a modifier sequence combining 👬 Men Holding Hands and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Men Holding Hands: Dark Skin Tone was added to Emoji 12.0 in 2019.,
men-holding-hands-light-skin-tone-dark-skin-tone,,"The Men Holding Hands: Light Skin Tone, Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Light Skin Tone, Dark Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-light-skin-tone-medium-dark-skin-tone,,"The Men Holding Hands: Light Skin Tone, Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Light Skin Tone, Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-light-skin-tone-medium-light-skin-tone,,"The Men Holding Hands: Light Skin Tone, Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Light Skin Tone, Medium-Light Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-light-skin-tone-medium-skin-tone,,"The Men Holding Hands: Light Skin Tone, Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Light Skin Tone, Medium Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-light-skin-tone,,The Men Holding Hands: Light Skin Tone emoji is a modifier sequence combining 👬 Men Holding Hands and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Men Holding Hands: Light Skin Tone was added to Emoji 12.0 in 2019.,
men-holding-hands-medium-dark-skin-tone-dark-skin-tone,,"The Men Holding Hands: Medium-Dark Skin Tone, Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Dark Skin Tone, Dark Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-medium-dark-skin-tone-light-skin-tone,,"The Men Holding Hands: Medium-Dark Skin Tone, Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Dark Skin Tone, Light Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-medium-dark-skin-tone-medium-light-skin-tone,,"The Men Holding Hands: Medium-Dark Skin Tone, Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Dark Skin Tone, Medium-Light Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-medium-dark-skin-tone-medium-skin-tone,,"The Men Holding Hands: Medium-Dark Skin Tone, Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Dark Skin Tone, Medium Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-medium-dark-skin-tone,,The Men Holding Hands: Medium-Dark Skin Tone emoji is a modifier sequence combining 👬 Men Holding Hands and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Men Holding Hands: Medium-Dark Skin Tone was added to Emoji 12.0 in 2019.,
men-holding-hands-medium-light-skin-tone-dark-skin-tone,,"The Men Holding Hands: Medium-Light Skin Tone, Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Light Skin Tone, Dark Skin Tone was added to Emoji 12.1 in 2019.",
